==> Resuming from checkpoint..
max :  tensor(15.99, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-12.28, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(2.54, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-2.80, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(5.95, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-5.86, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(17.77, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-19.47, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(3.12, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-1.89, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(4.60, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-3.69, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(28.38, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-27.08, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(3.14, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-3.45, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(11.47, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-13.65, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(13.96, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-14.25, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(2.00, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-3.44, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(4.58, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-5.67, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(16.87, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-16.02, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(2.82, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-3.40, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(4.89, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-5.04, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(25.10, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-30.55, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(1.70, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-3.75, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(10.67, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-9.65, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(12.25, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-11.42, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(30.70, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-10.31, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(17.69, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-15.35, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(20.36, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-22.59, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(15.86, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-11.04, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(62.43, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-62.36, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(8.81, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-9.15, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(16.26, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-18.12, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(32.57, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-42.90, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(6.13, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-5.60, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(17.82, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-15.57, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(55.54, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-54.81, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(6.99, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-9.55, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(19.04, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-17.72, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(23.57, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-27.22, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(4.19, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-4.65, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(11.66, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-12.94, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(30.77, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-27.89, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(2.91, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-4.39, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(7.87, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-5.04, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(43.28, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-43.10, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(4.98, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-8.06, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(17.31, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-21.60, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(18.89, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-14.74, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(3.22, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-3.54, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(8.46, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-12.87, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(19.34, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-18.78, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(2.11, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-2.27, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(4.05, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-5.11, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(19.95, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-20.63, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(2.57, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-2.03, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(3.56, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-4.61, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(27.97, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-32.26, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(4.34, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-5.73, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(20.54, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-19.36, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(15.27, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-16.38, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(2.30, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-2.67, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(4.67, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-4.89, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(18.40, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-19.91, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(2.17, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-1.81, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(4.30, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-3.71, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(32.59, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-27.44, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(3.80, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-3.15, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(11.36, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-13.16, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(14.17, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-12.97, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(2.14, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-3.20, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(4.51, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-5.08, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(15.07, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-14.90, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(2.53, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-2.99, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(3.85, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-3.88, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(24.29, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-24.13, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(1.32, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-4.25, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(8.07, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-9.87, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(12.21, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-10.95, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(31.33, device='cuda:4', grad_fn=<MaxBackward1>) , min :  tensor(-10.61, device='cuda:4', grad_fn=<MinBackward1>)
max :  tensor(13.55, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-13.92, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(19.51, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-23.04, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(15.42, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-10.73, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(58.89, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-58.40, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(8.46, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-9.15, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(12.36, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-19.54, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(29.20, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-36.09, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(6.22, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-4.94, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(13.97, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-14.25, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(55.06, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-56.05, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(7.20, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-9.55, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(16.53, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-15.70, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(20.61, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-27.34, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(4.16, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-4.24, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(10.87, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-14.07, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(27.14, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-31.24, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(3.10, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-4.54, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(9.46, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-5.54, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(46.19, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-38.71, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(5.25, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-8.05, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(16.82, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-21.07, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(16.88, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-13.03, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(2.95, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-3.39, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(8.56, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-11.74, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(18.24, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-15.66, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(1.83, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-1.88, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(3.86, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-5.09, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(19.19, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-19.50, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(2.29, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-1.98, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(3.69, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-4.34, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(31.18, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-25.88, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(4.05, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-5.68, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(19.41, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-25.19, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(18.09, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-17.19, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(2.64, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-2.98, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(5.60, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-4.73, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(19.03, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-19.23, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(2.49, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-1.75, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(4.53, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-4.21, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(31.83, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-27.05, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(3.14, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-3.39, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(11.22, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-11.95, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(17.46, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-14.31, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(2.14, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-3.51, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(4.74, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-4.70, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(23.63, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-16.85, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(3.42, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-2.73, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(4.08, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-4.86, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(23.81, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-25.86, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(1.49, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-3.84, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(8.83, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-9.60, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(11.16, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-10.33, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(26.43, device='cuda:5', grad_fn=<MaxBackward1>) , min :  tensor(-10.69, device='cuda:5', grad_fn=<MinBackward1>)
max :  tensor(15.20, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-18.59, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(20.43, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-21.40, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(15.32, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-12.60, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(59.06, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-63.20, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(8.88, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-9.14, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(14.06, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-20.10, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(34.79, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-41.29, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(6.15, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-5.03, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(12.75, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-14.27, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(48.95, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-49.00, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(7.52, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-9.58, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(17.97, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-18.80, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(20.15, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-29.62, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(3.54, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-4.15, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(11.05, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-13.13, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(25.72, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-28.91, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(2.85, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-4.44, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(9.77, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-6.30, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(45.58, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-36.91, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(5.36, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-8.06, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(17.61, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-20.05, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(18.69, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-14.89, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(3.21, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-3.58, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(8.46, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-10.65, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(17.42, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-15.71, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(1.65, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-2.12, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(4.35, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-5.12, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(17.92, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-20.65, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(2.08, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-2.17, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(4.57, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-4.40, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(29.21, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-25.17, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(4.08, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-5.88, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(16.78, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-16.70, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(14.25, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-17.25, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(2.81, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-2.90, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(5.03, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-5.06, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(15.43, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-18.09, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(2.09, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-2., device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(4.43, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-3.56, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(27.39, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-27.21, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(2.76, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-3.25, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(12.68, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-10.66, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(14.95, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-12.77, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(1.98, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-3.26, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(4.96, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-4.52, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(16.87, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-16.96, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(2.62, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-2.38, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(4.06, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-3.66, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(24.81, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-33.19, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(1.57, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-4.57, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(7.71, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-9.67, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(10.81, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-9.69, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(29.59, device='cuda:6', grad_fn=<MaxBackward1>) , min :  tensor(-9.24, device='cuda:6', grad_fn=<MinBackward1>)
max :  tensor(14.44, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-16.18, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(20.45, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-23.19, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(15.88, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-11.88, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(54.87, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-58.51, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(8.64, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-9.15, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(14.59, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-21.62, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(32.21, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-38.69, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(6.22, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-5.01, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(12.77, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-14.74, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(53.46, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-49.58, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(7.58, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-9.58, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(18.20, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-17.87, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(21.20, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-26.80, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(3.47, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-4.03, device='cuda:7', grad_fn=<MinBackward1>)
max :  tensor(10.93, device='cuda:7', grad_fn=<MaxBackward1>) , min :  tensor(-11.62, device='cuda:7', grad_fn=<MinBackward1>)
